SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
203061,4,4,4,4,4,4,0
203900,14,14,14,14,12,11,0
204001,11,11,11,11,9,9,0
204002,17,17,17,17,16,14,0
204004,15,15,15,15,15,14,0
204006,4,4,4,4,0,0,0
204007,16,16,16,15,14,14,0
204008,10,10,10,10,9,4,0
204014,12,12,12,12,11,6,0
201900,11,11,11,11,9,9,0
201005,8,8,8,8,8,8,0
146020,10,10,10,10,7,3,0
201001,15,15,15,15,14,12,0
146095,15,15,15,14,10,4,0
150-1,1,1,1,1,1,1,0
16200-1,2,2,2,2,1,0,0
16201-1,2,2,2,2,0,0,0
17200-1,2,2,2,2,0,0,0
17203-1,2,2,2,2,0,0,0
17204-1,2,2,2,2,1,0,0
181-1,1,1,1,1,1,0,0
18209-1,2,2,2,2,1,0,0
18217-1,2,2,2,2,1,1,0
18219-1,2,2,2,2,1,0,0
18221-1,2,2,2,2,1,0,0
18311-1,2,2,2,2,1,1,0
18312-1,2,2,2,2,1,1,0
18313-1,2,2,2,2,1,1,0
191-1,2,2,2,2,1,0,0
19200-1,2,2,2,2,1,1,0
19201-1,1,1,1,1,1,1,0
19202-1,1,1,1,1,1,0,0
19204-1,2,2,2,2,1,1,0
19206-1,2,2,2,2,1,0,0
19209-1,1,1,1,1,1,1,0
19224-1,1,1,1,1,1,0,0
212028,4,4,4,4,3,3,0
212048,6,6,6,6,5,3,0
221208,2,2,2,2,2,0,0
919014,6,6,6,6,6,3,0
916001,2,2,2,2,1,1,0
917002,2,2,2,2,2,2,0
917004,2,2,2,2,2,2,0
917106,12,12,12,11,9,9,0
917107,9,9,9,9,6,6,0
919001,2,2,2,1,1,0,0
919002,3,3,3,1,1,1,0
919003,8,8,8,8,7,6,0
919005,10,10,10,9,6,7,0
919006,2,2,2,2,1,1,0
919011,11,11,11,10,9,10,0
919201,9,9,9,7,6,6,0
212053,3,3,3,3,1,0,0
919310,12,12,12,12,8,10,0
919311,12,12,12,12,9,10,0
922001,4,4,4,4,3,4,0
923001,6,6,6,5,5,5,0
924101,1,1,1,1,1,1,0
925002,2,2,2,2,2,2,0
925003,3,3,3,2,1,1,0
926002,4,4,4,4,4,4,0
926003,1,1,1,1,1,0,0
927001,1,1,1,1,1,1,0
A2390519,2,2,2,2,1,2,0
915209,1,1,1,1,1,1,0
915203,4,4,4,4,4,4,0
915013,8,8,8,8,8,8,0
915004,3,3,3,3,3,3,0
802137,4,4,4,4,4,4,0
802156,2,2,2,2,2,2,0
802198,4,4,4,4,3,3,0
802202,5,5,5,5,3,4,0
802203,3,3,3,3,2,2,0
803002,1,1,1,1,0,0,0
806001,2,2,2,2,2,2,0
806005,2,2,2,2,2,2,0
806006,2,2,2,2,2,2,0
807001,1,1,1,1,1,1,0
808001,1,1,1,1,1,1,0
809310,3,3,3,3,2,2,0
809311,2,2,2,0,0,0,0
809312,3,3,3,3,1,0,0
809314,1,1,1,1,1,1,0
809315,4,4,4,4,4,4,0
809316,2,2,2,2,2,2,0
809317,1,1,1,1,1,1,0
809321,4,4,4,4,4,4,0
809322,2,2,2,2,1,1,0
809340,2,2,2,2,1,1,0
912107,2,2,2,1,1,1,0
915003,6,6,6,6,6,5,0
A4260504,2,2,2,2,1,0,0
A4260530,2,2,2,2,1,0,0
A4260533,2,2,2,2,0,0,0
G8140040,2,2,2,2,1,1,0
G8140060,1,1,1,0,0,0,0
G8140063,4,4,4,4,3,2,0
G8140067,4,4,4,3,2,2,0
G8140068,2,2,2,1,0,0,0
G8140086,3,3,3,2,1,0,0
G8140098,1,1,1,1,1,0,0
G8140152,3,3,3,3,1,2,0
G8140157,1,1,1,0,0,0,0
G8140159,5,5,5,5,4,4,0
G8140161,3,3,3,2,2,2,0
G8140205,1,1,1,0,0,0,0
G8140325,1,1,1,0,0,0,0
G8140535,2,2,2,2,2,1,0
G8140536,2,2,2,2,2,1,0
