SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
410187,2,2,2,2,1,0,0
410705,4,4,4,4,2,2,0
410711,6,6,6,6,4,4,0
410713,4,4,4,4,0,0,0
410730,5,5,5,5,2,2,0
410731,5,5,5,5,4,3,0
410733,4,4,4,4,2,1,0
410734,4,4,4,4,2,2,0
410736,4,4,4,4,2,2,0
410781,4,4,4,4,1,1,0
411003,3,3,3,3,1,1,0
412027,5,5,5,5,4,4,0
412028,5,5,5,5,3,3,0
412029,7,7,7,7,7,7,0
412030,2,2,2,2,2,2,0
412050,4,4,4,4,4,4,0
412063,2,2,2,2,2,2,0
410141,5,5,5,5,3,3,0
410107,4,4,4,4,4,4,0
412066,5,5,5,5,5,5,0
410106,3,3,3,3,2,2,0
407222,3,3,3,3,2,2,0
407237,1,1,1,0,0,0,0
407239,2,2,2,2,1,0,0
407283,4,4,4,4,2,2,0
410024,4,4,4,4,3,4,0
410025,3,3,3,3,2,3,0
410026,2,2,2,2,2,2,0
410029,2,2,2,2,1,1,0
410038,4,4,4,4,3,2,0
410043,2,2,2,2,2,2,0
410044,5,5,5,5,2,4,0
410047,4,4,4,3,2,1,0
410057,3,3,3,3,3,3,0
410058,2,2,2,2,2,2,0
410059,2,2,2,2,2,2,0
410061,4,4,4,4,3,3,0
410062,5,5,5,5,4,2,0
410067,1,1,1,0,0,0,0
410081,3,3,3,2,1,0,0
410088,3,3,3,3,3,3,0
410091,3,3,3,3,2,2,0
410092,2,2,2,2,1,1,0
410097,4,4,4,4,2,1,0
412065,4,4,4,3,3,3,0
412080,2,2,2,2,0,1,0
421026,8,8,8,8,6,6,0
418021,4,4,4,4,1,0,0
419010,2,2,2,2,2,2,0
419016,3,3,3,3,2,1,0
419028,3,3,3,3,2,2,0
419029,4,4,4,3,2,1,0
419033,4,4,4,3,2,1,0
419035,4,4,4,4,2,1,0
419047,2,2,2,2,1,1,0
419053,4,4,4,4,3,3,0
419054,2,2,2,2,2,0,0
419081,3,3,3,3,1,1,0
419086,2,2,2,2,1,1,0
419099,3,3,3,0,2,2,0
419104,2,2,2,0,0,0,0
419106,2,2,2,0,0,0,0
419107,2,2,2,0,0,0,0
420003,5,5,5,5,4,3,0
420004,1,1,1,1,1,1,0
420007,3,3,3,0,0,0,0
420010,1,1,1,1,1,1,0
420017,5,5,5,5,5,4,0
420022,3,3,3,0,0,0,0
421018,3,3,3,3,3,2,0
421025,6,6,6,6,5,4,0
419005,5,5,5,5,5,4,0
418017,6,6,6,6,4,4,0
412081,3,3,3,3,1,1,0
418016,2,2,2,0,1,1,0
412083,3,3,3,3,3,3,0
412092,1,1,1,1,0,0,0
412096,2,2,2,1,1,1,0
412110,3,3,3,2,2,2,0
412175,2,2,2,0,2,2,0
415206,3,3,3,3,2,1,0
415207,2,2,2,2,2,1,0
415244,1,1,1,1,0,0,0
415245,2,2,2,2,1,0,0
415252,2,2,2,2,1,1,0
416020,6,6,6,6,1,1,0
416022,11,11,11,11,11,6,0
416023,12,12,12,12,10,8,0
416036,6,6,6,5,3,4,0
416039,11,11,11,10,8,7,0
416204,8,8,8,8,7,6,0
416303,2,2,2,1,1,1,0
416304,2,2,2,0,1,1,0
416319,5,5,5,5,4,2,0
416404,6,6,6,5,4,4,0
416410,4,4,4,4,3,3,0
418008,4,4,4,4,2,2,0
418014,7,7,7,6,4,3,0
G9070132,2,2,2,1,0,0,0
