#--------------------------------------------------------------------------------
# DISCLAIMER: DATA CONTAINED IN THIS FILE HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. IT MAY NOT BE ACCURATE AND IS SUBJECT TO CHANGE.
# USE THIS DATA AT YOUR OWN RISK.
#--------------------------------------------------------------------------------
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 16:46:08.517509
# Source file : DATA_prepare_flood_data.py
#--------------------------------------------------------------------------------
# Description : Information on gauging stations
#--------------------------------------------------------------------------------
#
STATIONID,LONGITUDE[deg],LATITUDE[deg],CATCHMENTAREA[km2],STATE,NAME
130344,149.88306,-26.02503,1678.0,QLD,Juandah Creek At Windamere
130374,149.80944,-24.35661,38694.0,QLD,Dawson River At Bindaree
130401,149.11578,-22.65658,19719.0,QLD,Isaac River At Yatton
130403,149.13149,-22.03574,1291.0,QLD,Connors River At Mount Bridget
130404,148.94847,-22.33592,8721.0,QLD,Connors River At Pink Lagoon
130405,149.0975,-21.56222,108.0,QLD,Funnel Creek At Colston Park
130406,148.92682,-21.77681,1044.0,QLD,Funnel Creek At Main Road
130504,148.55139,-23.61247,16457.0,QLD,Comet River At Comet Weir
130506,148.6145,-24.31154,10188.0,QLD,Comet River At The Lake
130510,148.5037,-23.8563,14143.0,QLD,Comet River At Springsure Creek Junction
1309-1,147.70312,-41.22233,15.4,TAS,LEGERWOOD RIVULET DS RINGAROOMA ROAD
132001,151.09756,-23.98498,1288.0,QLD,Calliope River At Castlehope
132002,150.82722,-24.07194,165.0,QLD,Calliope River At Mount Alma
1335-1,147.73509,-41.17256,,TAS,RINGAROOMA RIVER US BRANXHOLM WATER SUPPLY
135004,151.89186,-24.96863,531.0,QLD,Gin Gin Creek At Brushy Creek
135006,152.27217,-24.75137,17.0,QLD,Croome Creek At Moore Park Road
136011,151.98814,-25.38092,687.0,QLD,Degilbo Creek At Coringa
136201,152.03936,-26.42413,1430.0,QLD,Barker Creek At Wyalla
136209,152.05753,-26.47004,1367.0,QLD,Barker Creek At Glenmore
136302,150.95824,-25.69158,5293.0,QLD,Auburn River At Glenwood
137101,152.24046,-25.08625,454.0,QLD,Gregory River At Isis Highway
137103,152.39157,-25.15344,635.0,QLD,Gregory River At Leesons
137201,152.36844,-25.26655,446.0,QLD,Isis River At Bruce Highway
137202,152.29281,-25.2924,161.0,QLD,Oaky Creek At Childers
138001,152.49566,-25.95333,4755.0,QLD,Mary River At Miva
138003,152.52156,-26.21618,113.0,QLD,Glastonbury Creek At Glastonbury
138004,152.34911,-25.90308,1193.0,QLD,Munna Creek At Marodian
138009,152.78382,-26.07733,100.0,QLD,Tinana Creek At Tagigan Road
138014,152.52736,-25.76833,6845.0,QLD,Mary River At Home Park
138107,152.81368,-26.33062,186.0,QLD,Six Mile Creek At Cooran
138110,152.70464,-26.62741,486.0,QLD,Mary River At Bellbird Creek
138903,152.72216,-25.82033,783.0,QLD,Tinana Creek At Bauple East
140002,153.04265,-26.05717,53.0,QLD,Teewah Creek At Coops Corner
141001,152.90402,-26.58957,33.0,QLD,South Maroochy River At Kiamba
141006,152.98221,-26.76136,39.0,QLD,Mooloolah River At Mooloolah
141008,153.01853,-26.6619,62.0,QLD,Eudlo Creek At Kiels Mountain
141009,152.96158,-26.49454,38.0,QLD,North Maroochy River At Eumundi
14200-1,144.93201,-40.7838,,TAS,MONTAGU RIVER AT STUARTS ROAD
142001,152.8906,-27.0978,94.0,QLD,Caboolture River At Upper Caboolture
14206-1,146.02991,-41.10597,,TAS,SULPHUR CREEK 1.5 KM US MOUTH
14207-1,146.09059,-41.25097,496.82,TAS,LEVEN RIVER AT BANNONS BRIDGE
14212-1,145.83739,-41.05773,224.9,TAS,CAM RIVER US SOMERSET WATER SUPPLY
14213-1,145.29714,-40.87175,,TAS,BLACK RIVER AT SOUTH FOREST
