# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 202001 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:41
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-20 00:00:00,0.66866
2022-02-20 01:00:00,0.66900
2022-02-20 02:00:00,0.66200
2022-02-20 03:00:00,0.66100
2022-02-20 04:00:00,0.65900
2022-02-20 05:00:00,0.65800
2022-02-20 06:00:00,0.64978
2022-02-20 07:00:00,0.65291
2022-02-20 08:00:00,0.65424
2022-02-20 09:00:00,0.65200
2022-02-20 10:00:00,0.64534
2022-02-20 11:00:00,0.64223
2022-02-20 12:00:00,0.64046
2022-02-20 13:00:00,0.63475
2022-02-20 14:00:00,0.62730
2022-02-20 15:00:00,0.62469
2022-02-20 16:00:00,0.61862
2022-02-20 17:00:00,0.61174
2022-02-20 18:00:00,0.60831
2022-02-20 19:00:00,0.59895
2022-02-20 20:00:00,0.59598
2022-02-20 21:00:00,0.59598
2022-02-20 22:00:00,0.59598
2022-02-20 23:00:00,0.59219
2022-02-21 00:00:00,0.59177
2022-02-21 01:00:00,0.59219
2022-02-21 02:00:00,0.58925
2022-02-21 03:00:00,0.58674
2022-02-21 04:00:00,0.58131
2022-02-21 05:00:00,0.57924
2022-02-21 06:00:00,0.57924
2022-02-21 07:00:00,0.57840
2022-02-21 08:00:00,0.57800
2022-02-21 09:00:00,0.57385
2022-02-21 10:00:00,0.57345
2022-02-21 11:00:00,0.56688
2022-02-21 12:00:00,0.56319
2022-02-21 13:00:00,0.56237
2022-02-21 14:00:00,0.55994
2022-02-21 15:00:00,0.55630
2022-02-21 16:00:00,0.54984
2022-02-21 17:00:00,0.54703
2022-02-21 18:00:00,0.54543
2022-02-21 19:00:00,0.54600
2022-02-21 20:00:00,
