# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 203014 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:42
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-26 00:00:00,57.18206
2022-02-26 01:00:00,54.57478
2022-02-26 02:00:00,52.04260
2022-02-26 03:00:00,49.61596
2022-02-26 04:00:00,47.20566
2022-02-26 05:00:00,44.83664
2022-02-26 06:00:00,42.54087
2022-02-26 07:00:00,40.30181
2022-02-26 08:00:00,38.13632
2022-02-26 09:00:00,36.05419
2022-02-26 10:00:00,34.06022
2022-02-26 11:00:00,32.16032
2022-02-26 12:00:00,30.35568
2022-02-26 13:00:00,28.71309
2022-02-26 14:00:00,27.24821
2022-02-26 15:00:00,25.92083
2022-02-26 16:00:00,24.85766
2022-02-26 17:00:00,23.92314
2022-02-26 18:00:00,23.21350
2022-02-26 19:00:00,22.72902
2022-02-26 20:00:00,22.54719
2022-02-26 21:00:00,22.62211
2022-02-26 22:00:00,22.91947
2022-02-26 23:00:00,23.33068
2022-02-27 00:00:00,23.79669
2022-02-27 01:00:00,24.44225
2022-02-27 02:00:00,25.52203
2022-02-27 03:00:00,27.12333
2022-02-27 04:00:00,29.23248
2022-02-27 05:00:00,31.53676
2022-02-27 06:00:00,33.96428
2022-02-27 07:00:00,36.83266
2022-02-27 08:00:00,41.12740
2022-02-27 09:00:00,47.30470
2022-02-27 10:00:00,54.29265
2022-02-27 11:00:00,63.51213
2022-02-27 12:00:00,78.01418
2022-02-27 13:00:00,95.30236
2022-02-27 14:00:00,108.72112
2022-02-27 15:00:00,122.32940
2022-02-27 16:00:00,134.75264
2022-02-27 17:00:00,149.26554
2022-02-27 18:00:00,169.73285
2022-02-27 19:00:00,220.35015
2022-02-27 20:00:00,307.19659
2022-02-27 21:00:00,384.96669
2022-02-27 22:00:00,434.71345
2022-02-27 23:00:00,451.31316
2022-02-28 00:00:00,460.53561
2022-02-28 01:00:00,453.31436
2022-02-28 02:00:00,451.47392
2022-02-28 03:00:00,453.22750
2022-02-28 04:00:00,452.11603
2022-02-28 05:00:00,452.55315
2022-02-28 06:00:00,452.36714
2022-02-28 07:00:00,463.65615
2022-02-28 08:00:00,473.67613
2022-02-28 09:00:00,480.03630
2022-02-28 10:00:00,499.31204
2022-02-28 11:00:00,515.39382
2022-02-28 12:00:00,534.58844
2022-02-28 13:00:00,557.30159
2022-02-28 14:00:00,568.33215
2022-02-28 15:00:00,573.37934
2022-02-28 16:00:00,561.95510
2022-02-28 17:00:00,547.09750
2022-02-28 18:00:00,525.79897
2022-02-28 19:00:00,505.85176
2022-02-28 20:00:00,487.45112
2022-02-28 21:00:00,478.83494
2022-02-28 22:00:00,465.89137
2022-02-28 23:00:00,450.75537
2022-03-01 00:00:00,436.04562
2022-03-01 01:00:00,424.03788
2022-03-01 02:00:00,404.57358
2022-03-01 03:00:00,377.46597
2022-03-01 04:00:00,355.59610
2022-03-01 05:00:00,336.53303
2022-03-01 06:00:00,321.56750
2022-03-01 07:00:00,308.56725
2022-03-01 08:00:00,298.11661
2022-03-01 09:00:00,288.39927
2022-03-01 10:00:00,278.57782
2022-03-01 11:00:00,267.54394
2022-03-01 12:00:00,259.43819
2022-03-01 13:00:00,249.02769
2022-03-01 14:00:00,239.86444
2022-03-01 15:00:00,229.73211
2022-03-01 16:00:00,219.44582
2022-03-01 17:00:00,210.37308
2022-03-01 18:00:00,200.78785
2022-03-01 19:00:00,189.82617
2022-03-01 20:00:00,181.50030
2022-03-01 21:00:00,175.99238
2022-03-01 22:00:00,171.62385
2022-03-01 23:00:00,166.92167
2022-03-02 00:00:00,162.00057
2022-03-02 01:00:00,156.40812
2022-03-02 02:00:00,150.44590
2022-03-02 03:00:00,144.05955
2022-03-02 04:00:00,137.54405
2022-03-02 05:00:00,130.56120
2022-03-02 06:00:00,123.34561
2022-03-02 07:00:00,115.85774
2022-03-02 08:00:00,109.44117
2022-03-02 09:00:00,104.77762
2022-03-02 10:00:00,100.06543
2022-03-02 11:00:00,95.31459
2022-03-02 12:00:00,90.46984
2022-03-02 13:00:00,85.59852
2022-03-02 14:00:00,80.85204
2022-03-02 15:00:00,76.92413
2022-03-02 16:00:00,73.47793
2022-03-02 17:00:00,70.10198
2022-03-02 18:00:00,67.02883
2022-03-02 19:00:00,64.04521
2022-03-02 20:00:00,61.19365
2022-03-02 21:00:00,58.69900
2022-03-02 22:00:00,56.85682
2022-03-02 23:00:00,55.15465
2022-03-03 00:00:00,53.45510
2022-03-03 01:00:00,51.86381
2022-03-03 02:00:00,50.31388
2022-03-03 03:00:00,48.81282
2022-03-03 04:00:00,47.35207
2022-03-03 05:00:00,45.96012
2022-03-03 06:00:00,44.63118
2022-03-03 07:00:00,43.40566
2022-03-03 08:00:00,42.34223
2022-03-03 09:00:00,41.31421
2022-03-03 10:00:00,40.40571
2022-03-03 11:00:00,39.53262
2022-03-03 12:00:00,38.75037
2022-03-03 13:00:00,37.97299
2022-03-03 14:00:00,37.26353
2022-03-03 15:00:00,36.58596
2022-03-03 16:00:00,35.91868
2022-03-03 17:00:00,35.30264
2022-03-03 18:00:00,34.68131
2022-03-03 19:00:00,34.05161
2022-03-03 20:00:00,33.44397
2022-03-03 21:00:00,32.82510
2022-03-03 22:00:00,32.20416
2022-03-03 23:00:00,31.64075
2022-03-04 00:00:00,31.07792
2022-03-04 01:00:00,30.53345
2022-03-04 02:00:00,29.98218
2022-03-04 03:00:00,29.43296
2022-03-04 04:00:00,28.94725
2022-03-04 05:00:00,28.42391
2022-03-04 06:00:00,27.95475
2022-03-04 07:00:00,27.47420
2022-03-04 08:00:00,27.06455
2022-03-04 09:00:00,26.66049
2022-03-04 10:00:00,26.25050
2022-03-04 11:00:00,25.94318
2022-03-04 12:00:00,25.63091
2022-03-04 13:00:00,25.39049
2022-03-04 14:00:00,25.18883
2022-03-04 15:00:00,24.99885
2022-03-04 16:00:00,24.88981
2022-03-04 17:00:00,24.76957
2022-03-04 18:00:00,24.62120
2022-03-04 19:00:00,24.51394
2022-03-04 20:00:00,24.35742
2022-03-04 21:00:00,24.24053
2022-03-04 22:00:00,24.11672
2022-03-04 23:00:00,23.98043
2022-03-05 00:00:00,23.83586
2022-03-05 01:00:00,23.69007
2022-03-05 02:00:00,23.49273
2022-03-05 03:00:00,23.30409
2022-03-05 04:00:00,23.11997
2022-03-05 05:00:00,22.92778
2022-03-05 06:00:00,22.74427
2022-03-05 07:00:00,22.58880
2022-03-05 08:00:00,22.42247
2022-03-05 09:00:00,22.29789
2022-03-05 10:00:00,22.17762
2022-03-05 11:00:00,22.07403
2022-03-05 12:00:00,21.99537
2022-03-05 13:00:00,21.86578
2022-03-05 14:00:00,21.77764
2022-03-05 15:00:00,21.69096
2022-03-05 16:00:00,21.57411
2022-03-05 17:00:00,21.46564
2022-03-05 18:00:00,21.35726
2022-03-05 19:00:00,21.22025
2022-03-05 20:00:00,21.09183
2022-03-05 21:00:00,20.94646
2022-03-05 22:00:00,20.89402
2022-03-05 23:00:00,20.76536
2022-03-06 00:00:00,20.64884
2022-03-06 01:00:00,20.50569
2022-03-06 02:00:00,20.40596
2022-03-06 03:00:00,20.29150
2022-03-06 04:00:00,20.20392
2022-03-06 05:00:00,20.08682
2022-03-06 06:00:00,19.99802
2022-03-06 07:00:00,19.86352
2022-03-06 08:00:00,19.73814
2022-03-06 09:00:00,19.62032
2022-03-06 10:00:00,19.49389
2022-03-06 11:00:00,19.39116
2022-03-06 12:00:00,19.26221
2022-03-06 13:00:00,19.17735
2022-03-06 14:00:00,19.05465
2022-03-06 15:00:00,18.98462
2022-03-06 16:00:00,18.95402
2022-03-06 17:00:00,18.96131
2022-03-06 18:00:00,19.48613
2022-03-06 19:00:00,21.84323
2022-03-06 20:00:00,26.16896
2022-03-06 21:00:00,31.75208
2022-03-06 22:00:00,37.33713
2022-03-06 23:00:00,42.10736
2022-03-07 00:00:00,45.84300
2022-03-07 01:00:00,48.59536
2022-03-07 02:00:00,50.39567
2022-03-07 03:00:00,51.24914
2022-03-07 04:00:00,51.23433
2022-03-07 05:00:00,50.55948
2022-03-07 06:00:00,49.25295
2022-03-07 07:00:00,47.55641
2022-03-07 08:00:00,45.58462
2022-03-07 09:00:00,43.46689
2022-03-07 10:00:00,41.32288
2022-03-07 11:00:00,39.19881
2022-03-07 12:00:00,37.15977
2022-03-07 13:00:00,35.20468
2022-03-07 14:00:00,33.41612
2022-03-07 15:00:00,31.77678
2022-03-07 16:00:00,30.27434
2022-03-07 17:00:00,28.88347
2022-03-07 18:00:00,27.64955
2022-03-07 19:00:00,26.53022
2022-03-07 20:00:00,25.53444
2022-03-07 21:00:00,24.63837
2022-03-07 22:00:00,23.88236
2022-03-07 23:00:00,23.18704
2022-03-08 00:00:00,22.56815
2022-03-08 01:00:00,22.01479
2022-03-08 02:00:00,21.51103
2022-03-08 03:00:00,21.04304
2022-03-08 04:00:00,20.63404
2022-03-08 05:00:00,20.24553
2022-03-08 06:00:00,19.92119
2022-03-08 07:00:00,19.61302
2022-03-08 08:00:00,19.33402
2022-03-08 09:00:00,19.11015
2022-03-08 10:00:00,18.90014
2022-03-08 11:00:00,18.71837
2022-03-08 12:00:00,18.52984
2022-03-08 13:00:00,18.37361
2022-03-08 14:00:00,18.23361
2022-03-08 15:00:00,18.08961
2022-03-08 16:00:00,17.95309
2022-03-08 17:00:00,17.79252
2022-03-08 18:00:00,17.66522
2022-03-08 19:00:00,17.53531
2022-03-08 20:00:00,17.41137
2022-03-08 21:00:00,17.29050
2022-03-08 22:00:00,17.13588
2022-03-08 23:00:00,17.01978
2022-03-09 00:00:00,16.90816
