# --------------------------------------------------
# nrow : 192
# ncol : 1
# description : Streamflow data time series for site 203010 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2024), Communication Earth and Environment, submitted
# time_generated : 2024-12-19 15:35:31
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_map_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-28 23:00:00,790.58637
2022-03-01 00:00:00,706.37829
2022-03-01 01:00:00,632.58110
2022-03-01 02:00:00,565.56366
2022-03-01 03:00:00,503.96515
2022-03-01 04:00:00,448.12965
2022-03-01 05:00:00,396.76898
2022-03-01 06:00:00,350.74196
2022-03-01 07:00:00,310.41932
2022-03-01 08:00:00,276.50796
2022-03-01 09:00:00,246.45828
2022-03-01 10:00:00,218.82141
2022-03-01 11:00:00,194.79512
2022-03-01 12:00:00,171.89848
2022-03-01 13:00:00,151.58185
2022-03-01 14:00:00,134.23102
2022-03-01 15:00:00,118.39771
2022-03-01 16:00:00,104.48065
2022-03-01 17:00:00,92.26760
2022-03-01 18:00:00,81.93171
2022-03-01 19:00:00,73.06344
2022-03-01 20:00:00,65.29591
2022-03-01 21:00:00,58.68682
2022-03-01 22:00:00,53.28238
2022-03-01 23:00:00,48.58150
2022-03-02 00:00:00,44.53560
2022-03-02 01:00:00,40.46531
2022-03-02 02:00:00,37.19562
2022-03-02 03:00:00,34.58002
2022-03-02 04:00:00,32.42586
2022-03-02 05:00:00,30.49595
2022-03-02 06:00:00,28.79101
2022-03-02 07:00:00,27.16470
2022-03-02 08:00:00,26.03929
2022-03-02 09:00:00,24.87775
2022-03-02 10:00:00,23.81512
2022-03-02 11:00:00,22.84839
2022-03-02 12:00:00,21.99565
2022-03-02 13:00:00,21.17376
2022-03-02 14:00:00,20.39758
2022-03-02 15:00:00,19.77843
2022-03-02 16:00:00,19.03896
2022-03-02 17:00:00,19.32683
2022-03-02 18:00:00,28.09738
2022-03-02 19:00:00,27.65021
2022-03-02 20:00:00,24.33513
2022-03-02 21:00:00,22.78627
2022-03-02 22:00:00,21.41352
2022-03-02 23:00:00,20.09657
