# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 203402 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:43
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,WATERLEVEL_AHD[m]
2022-02-25 19:00:00,7.14475
2022-02-25 20:00:00,7.09612
2022-02-25 21:00:00,7.02962
2022-02-25 22:00:00,6.96200
2022-02-25 23:00:00,6.88188
2022-02-26 00:00:00,6.80813
2022-02-26 01:00:00,6.71063
2022-02-26 02:00:00,6.61175
2022-02-26 03:00:00,6.50787
2022-02-26 04:00:00,6.38425
2022-02-26 05:00:00,6.26588
2022-02-26 06:00:00,6.14163
2022-02-26 07:00:00,6.00837
2022-02-26 08:00:00,5.86575
2022-02-26 09:00:00,5.72250
2022-02-26 10:00:00,5.57688
2022-02-26 11:00:00,5.42700
2022-02-26 12:00:00,5.27325
2022-02-26 13:00:00,5.12700
2022-02-26 14:00:00,4.97163
2022-02-26 15:00:00,4.82937
2022-02-26 16:00:00,4.69312
2022-02-26 17:00:00,4.56038
2022-02-26 18:00:00,4.43700
2022-02-26 19:00:00,4.32362
2022-02-26 20:00:00,4.22475
2022-02-26 21:00:00,4.13875
2022-02-26 22:00:00,4.08037
2022-02-26 23:00:00,4.03438
2022-02-27 00:00:00,4.01000
2022-02-27 01:00:00,4.01125
2022-02-27 02:00:00,4.04412
2022-02-27 03:00:00,4.09300
2022-02-27 04:00:00,4.15063
2022-02-27 05:00:00,4.23037
2022-02-27 06:00:00,4.32412
2022-02-27 07:00:00,4.44762
2022-02-27 08:00:00,4.68700
2022-02-27 09:00:00,4.98150
2022-02-27 10:00:00,5.27475
2022-02-27 11:00:00,5.55975
2022-02-27 12:00:00,5.85325
2022-02-27 13:00:00,6.14363
2022-02-27 14:00:00,6.39187
2022-02-27 15:00:00,6.61425
2022-02-27 16:00:00,6.80075
2022-02-27 17:00:00,6.96675
2022-02-27 18:00:00,7.15425
2022-02-27 19:00:00,7.39463
2022-02-27 20:00:00,7.70962
2022-02-27 21:00:00,7.99637
2022-02-27 22:00:00,8.28525
2022-02-27 23:00:00,8.74425
2022-02-28 00:00:00,9.34225
2022-02-28 01:00:00,9.97575
2022-02-28 02:00:00,10.66375
2022-02-28 03:00:00,11.34900
2022-02-28 04:00:00,11.93363
2022-02-28 05:00:00,12.43175
2022-02-28 06:00:00,12.84137
2022-02-28 07:00:00,13.16763
2022-02-28 08:00:00,13.44575
2022-02-28 09:00:00,13.67025
2022-02-28 10:00:00,13.86175
2022-02-28 11:00:00,14.01025
2022-02-28 12:00:00,14.10338
2022-02-28 13:00:00,14.15713
2022-02-28 14:00:00,14.19387
2022-02-28 15:00:00,14.19162
2022-02-28 16:00:00,14.16475
2022-02-28 17:00:00,14.11950
2022-02-28 18:00:00,14.05463
2022-02-28 19:00:00,13.97563
2022-02-28 20:00:00,13.87775
2022-02-28 21:00:00,13.76450
2022-02-28 22:00:00,13.63787
2022-02-28 23:00:00,13.49750
2022-03-01 00:00:00,13.34837
2022-03-01 01:00:00,13.19350
2022-03-01 02:00:00,13.03450
2022-03-01 03:00:00,12.87500
2022-03-01 04:00:00,12.71775
2022-03-01 05:00:00,12.55775
2022-03-01 06:00:00,12.40212
2022-03-01 07:00:00,12.24850
2022-03-01 08:00:00,12.10338
2022-03-01 09:00:00,11.96100
2022-03-01 10:00:00,11.82500
2022-03-01 11:00:00,11.69025
2022-03-01 12:00:00,11.56213
2022-03-01 13:00:00,11.43513
2022-03-01 14:00:00,11.31038
2022-03-01 15:00:00,11.18987
2022-03-01 16:00:00,11.06900
2022-03-01 17:00:00,10.95025
2022-03-01 18:00:00,10.83225
2022-03-01 19:00:00,10.71725
2022-03-01 20:00:00,10.60438
2022-03-01 21:00:00,10.48912
2022-03-01 22:00:00,10.37800
2022-03-01 23:00:00,10.26500
2022-03-02 00:00:00,10.15087
2022-03-02 01:00:00,10.03750
2022-03-02 02:00:00,9.92487
2022-03-02 03:00:00,9.81087
2022-03-02 04:00:00,9.69737
2022-03-02 05:00:00,9.58563
2022-03-02 06:00:00,9.47438
2022-03-02 07:00:00,9.36325
2022-03-02 08:00:00,9.25413
2022-03-02 09:00:00,9.14700
2022-03-02 10:00:00,9.04388
2022-03-02 11:00:00,8.94175
2022-03-02 12:00:00,8.83937
2022-03-02 13:00:00,8.73775
2022-03-02 14:00:00,8.64363
2022-03-02 15:00:00,8.54987
2022-03-02 16:00:00,8.45575
2022-03-02 17:00:00,8.36975
2022-03-02 18:00:00,8.28362
2022-03-02 19:00:00,8.20238
2022-03-02 20:00:00,8.12737
2022-03-02 21:00:00,8.05425
2022-03-02 22:00:00,7.98388
2022-03-02 23:00:00,7.91575
2022-03-03 00:00:00,7.84700
2022-03-03 01:00:00,7.78175
2022-03-03 02:00:00,7.71563
2022-03-03 03:00:00,7.64675
2022-03-03 04:00:00,7.57462
2022-03-03 05:00:00,7.50288
2022-03-03 06:00:00,7.42087
2022-03-03 07:00:00,7.34462
2022-03-03 08:00:00,7.26738
2022-03-03 09:00:00,7.17625
2022-03-03 10:00:00,7.09512
2022-03-03 11:00:00,7.00900
2022-03-03 12:00:00,6.92262
2022-03-03 13:00:00,6.83513
2022-03-03 14:00:00,6.74712
2022-03-03 15:00:00,6.65725
2022-03-03 16:00:00,6.57237
2022-03-03 17:00:00,6.48975
2022-03-03 18:00:00,6.40362
2022-03-03 19:00:00,6.32300
2022-03-03 20:00:00,6.24363
2022-03-03 21:00:00,6.16887
2022-03-03 22:00:00,6.09213
2022-03-03 23:00:00,6.02187
2022-03-04 00:00:00,5.95075
2022-03-04 01:00:00,5.88325
2022-03-04 02:00:00,5.81300
2022-03-04 03:00:00,5.74600
2022-03-04 04:00:00,5.68075
2022-03-04 05:00:00,5.61437
2022-03-04 06:00:00,5.55400
2022-03-04 07:00:00,5.49037
2022-03-04 08:00:00,5.43287
2022-03-04 09:00:00,5.37412
2022-03-04 10:00:00,5.31900
2022-03-04 11:00:00,5.26238
2022-03-04 12:00:00,5.20813
2022-03-04 13:00:00,5.15488
2022-03-04 14:00:00,5.10300
2022-03-04 15:00:00,5.05013
2022-03-04 16:00:00,4.99837
2022-03-04 17:00:00,4.94788
2022-03-04 18:00:00,4.89838
2022-03-04 19:00:00,4.85138
2022-03-04 20:00:00,4.80338
2022-03-04 21:00:00,4.75500
2022-03-04 22:00:00,4.70862
2022-03-04 23:00:00,4.66337
2022-03-05 00:00:00,4.62100
2022-03-05 01:00:00,4.57588
2022-03-05 02:00:00,4.53450
2022-03-05 03:00:00,4.49213
2022-03-05 04:00:00,4.45113
2022-03-05 05:00:00,4.41063
2022-03-05 06:00:00,4.36925
2022-03-05 07:00:00,4.32900
2022-03-05 08:00:00,4.28975
2022-03-05 09:00:00,4.24925
2022-03-05 10:00:00,4.21050
2022-03-05 11:00:00,4.17075
2022-03-05 12:00:00,4.13038
2022-03-05 13:00:00,4.09163
2022-03-05 14:00:00,4.05200
2022-03-05 15:00:00,4.01488
2022-03-05 16:00:00,3.97637
2022-03-05 17:00:00,3.93612
2022-03-05 18:00:00,3.89788
2022-03-05 19:00:00,3.85713
2022-03-05 20:00:00,3.82075
2022-03-05 21:00:00,3.78412
2022-03-05 22:00:00,3.74700
2022-03-05 23:00:00,3.71037
2022-03-06 00:00:00,3.67412
2022-03-06 01:00:00,3.63962
2022-03-06 02:00:00,3.60363
2022-03-06 03:00:00,3.56763
2022-03-06 04:00:00,3.53275
2022-03-06 05:00:00,3.49725
2022-03-06 06:00:00,3.46150
2022-03-06 07:00:00,3.42887
2022-03-06 08:00:00,3.39537
2022-03-06 09:00:00,3.36038
2022-03-06 10:00:00,3.32475
2022-03-06 11:00:00,3.29013
2022-03-06 12:00:00,3.25300
2022-03-06 13:00:00,3.21825
2022-03-06 14:00:00,3.19250
2022-03-06 15:00:00,3.19700
2022-03-06 16:00:00,3.20025
2022-03-06 17:00:00,3.19438
2022-03-06 18:00:00,3.18288
2022-03-06 19:00:00,3.16550
2022-03-06 20:00:00,3.14562
2022-03-06 21:00:00,3.12662
2022-03-06 22:00:00,3.11112
2022-03-06 23:00:00,3.10262
2022-03-07 00:00:00,3.10475
2022-03-07 01:00:00,3.11863
2022-03-07 02:00:00,3.14563
2022-03-07 03:00:00,3.18100
2022-03-07 04:00:00,3.21362
2022-03-07 05:00:00,3.24988
2022-03-07 06:00:00,3.28212
2022-03-07 07:00:00,3.30962
2022-03-07 08:00:00,3.32450
2022-03-07 09:00:00,3.33187
2022-03-07 10:00:00,3.33137
2022-03-07 11:00:00,3.32125
2022-03-07 12:00:00,3.30512
2022-03-07 13:00:00,3.27712
2022-03-07 14:00:00,3.24100
2022-03-07 15:00:00,3.20013
2022-03-07 16:00:00,3.15825
2022-03-07 17:00:00,3.10950
2022-03-07 18:00:00,3.05750
2022-03-07 19:00:00,3.00788
2022-03-07 20:00:00,2.95987
2022-03-07 21:00:00,2.92150
2022-03-07 22:00:00,2.88525
2022-03-07 23:00:00,2.84875
2022-03-08 00:00:00,2.81187
2022-03-08 01:00:00,2.77450
2022-03-08 02:00:00,2.74262
2022-03-08 03:00:00,2.70950
2022-03-08 04:00:00,2.67900
2022-03-08 05:00:00,2.65162
2022-03-08 06:00:00,2.62425
2022-03-08 07:00:00,2.60013
2022-03-08 08:00:00,2.57825
2022-03-08 09:00:00,2.55400
2022-03-08 10:00:00,2.53125
2022-03-08 11:00:00,2.50800
2022-03-08 12:00:00,2.48425
2022-03-08 13:00:00,2.46213
2022-03-08 14:00:00,2.43813
2022-03-08 15:00:00,2.41563
2022-03-08 16:00:00,2.39550
2022-03-08 17:00:00,2.37338
2022-03-08 18:00:00,2.35313
2022-03-08 19:00:00,2.33275
2022-03-08 20:00:00,2.31363
2022-03-08 21:00:00,2.29213
2022-03-08 22:00:00,2.27312
2022-03-08 23:00:00,2.25350
2022-03-09 00:00:00,2.23425
2022-03-09 01:00:00,2.21313
2022-03-09 02:00:00,2.19587
2022-03-09 03:00:00,2.17638
2022-03-09 04:00:00,2.15850
