# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 138110 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:40
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-20 00:00:00,2.18657
2022-02-20 01:00:00,2.20347
2022-02-20 02:00:00,2.22049
2022-02-20 03:00:00,2.23183
2022-02-20 04:00:00,2.23762
2022-02-20 05:00:00,2.25475
2022-02-20 06:00:00,2.27199
2022-02-20 07:00:00,2.28935
2022-02-20 08:00:00,2.31262
2022-02-20 09:00:00,2.34178
2022-02-20 10:00:00,2.38322
2022-02-20 11:00:00,2.43692
2022-02-20 12:00:00,2.50984
2022-02-20 13:00:00,2.62187
2022-02-20 14:00:00,2.80880
2022-02-20 15:00:00,3.08611
2022-02-20 16:00:00,3.41505
2022-02-20 17:00:00,3.70845
2022-02-20 18:00:00,3.92870
2022-02-20 19:00:00,4.07419
2022-02-20 20:00:00,4.13993
2022-02-20 21:00:00,4.15648
2022-02-20 22:00:00,4.13160
2022-02-20 23:00:00,4.09039
2022-02-21 00:00:00,4.05764
2022-02-21 01:00:00,4.04120
2022-02-21 02:00:00,4.02500
2022-02-21 03:00:00,4.00058
2022-02-21 04:00:00,3.96829
2022-02-21 05:00:00,3.93600
2022-02-21 06:00:00,3.91192
2022-02-21 07:00:00,3.87998
2022-02-21 08:00:00,3.84826
2022-02-21 09:00:00,3.80093
2022-02-21 10:00:00,3.75394
2022-02-21 11:00:00,3.71505
2022-02-21 12:00:00,3.66863
2022-02-21 13:00:00,3.61505
2022-02-21 14:00:00,3.56181
2022-02-21 15:00:00,3.51667
2022-02-21 16:00:00,3.46435
2022-02-21 17:00:00,3.41250
2022-02-21 18:00:00,
2022-02-21 19:00:00,
2022-02-21 20:00:00,
2022-02-21 21:00:00,
2022-02-21 22:00:00,
2022-02-21 23:00:00,3.12546
2022-02-22 00:00:00,3.07685
2022-02-22 01:00:00,3.02859
2022-02-22 02:00:00,2.98762
2022-02-22 03:00:00,2.94699
2022-02-22 04:00:00,2.90700
2022-02-22 05:00:00,
2022-02-22 06:00:00,
2022-02-22 07:00:00,
2022-02-22 08:00:00,
2022-02-22 09:00:00,
2022-02-22 10:00:00,
2022-02-22 11:00:00,
2022-02-22 12:00:00,2.65914
2022-02-22 13:00:00,2.64016
2022-02-22 14:00:00,2.61505
2022-02-22 15:00:00,2.60243
2022-02-22 16:00:00,2.59618
2022-02-22 17:00:00,2.58171
2022-02-22 18:00:00,2.55891
2022-02-22 19:00:00,2.55266
2022-02-22 20:00:00,2.54954
2022-02-22 21:00:00,2.56667
2022-02-22 22:00:00,2.76516
2022-02-22 23:00:00,3.09051
2022-02-23 00:00:00,3.65243
2022-02-23 01:00:00,6.12662
2022-02-23 02:00:00,17.67593
2022-02-23 03:00:00,51.65475
2022-02-23 04:00:00,101.65903
2022-02-23 05:00:00,153.65185
2022-02-23 06:00:00,207.45532
2022-02-23 07:00:00,240.44745
2022-02-23 08:00:00,264.37512
2022-02-23 09:00:00,284.64329
2022-02-23 10:00:00,282.30718
2022-02-23 11:00:00,242.49537
2022-02-23 12:00:00,186.46701
2022-02-23 13:00:00,138.31181
2022-02-23 14:00:00,105.68704
2022-02-23 15:00:00,85.06516
2022-02-23 16:00:00,71.65278
2022-02-23 17:00:00,63.38414
2022-02-23 18:00:00,57.60868
2022-02-23 19:00:00,53.13137
2022-02-23 20:00:00,49.29456
2022-02-23 21:00:00,46.28669
2022-02-23 22:00:00,43.81586
2022-02-23 23:00:00,41.69086
2022-02-24 00:00:00,40.37072
2022-02-24 01:00:00,40.61424
2022-02-24 02:00:00,41.42083
2022-02-24 03:00:00,41.95336
2022-02-24 04:00:00,41.75694
2022-02-24 05:00:00,40.75451
2022-02-24 06:00:00,39.46343
2022-02-24 07:00:00,38.38194
2022-02-24 08:00:00,37.70208
2022-02-24 09:00:00,37.57604
2022-02-24 10:00:00,37.69178
2022-02-24 11:00:00,37.54491
2022-02-24 12:00:00,37.15937
2022-02-24 13:00:00,36.84433
2022-02-24 14:00:00,36.71343
2022-02-24 15:00:00,36.97569
2022-02-24 16:00:00,37.63553
2022-02-24 17:00:00,38.65162
2022-02-24 18:00:00,40.17755
2022-02-24 19:00:00,42.21574
2022-02-24 20:00:00,44.27037
2022-02-24 21:00:00,45.32373
2022-02-24 22:00:00,45.61817
2022-02-24 23:00:00,45.55903
2022-02-25 00:00:00,45.47940
2022-02-25 01:00:00,45.47049
2022-02-25 02:00:00,46.02153
2022-02-25 03:00:00,49.07384
2022-02-25 04:00:00,56.79896
2022-02-25 05:00:00,75.96123
2022-02-25 06:00:00,180.92512
2022-02-25 07:00:00,853.66227
2022-02-25 08:00:00,1937.06713
2022-02-25 09:00:00,2286.56273
2022-02-25 10:00:00,2218.71053
2022-02-25 11:00:00,2213.59086
2022-02-25 12:00:00,2445.04410
2022-02-25 13:00:00,2717.24132
2022-02-25 14:00:00,2797.25301
2022-02-25 15:00:00,2590.29410
2022-02-25 16:00:00,2357.76944
2022-02-25 17:00:00,2227.01829
2022-02-25 18:00:00,1982.39873
2022-02-25 19:00:00,1601.43356
2022-02-25 20:00:00,1241.22396
2022-02-25 21:00:00,923.08657
2022-02-25 22:00:00,715.44745
2022-02-25 23:00:00,626.55775
2022-02-26 00:00:00,606.62512
2022-02-26 01:00:00,606.85914
2022-02-26 02:00:00,606.33171
2022-02-26 03:00:00,679.39271
2022-02-26 04:00:00,949.83495
2022-02-26 05:00:00,1541.81887
2022-02-26 06:00:00,2009.83588
2022-02-26 07:00:00,2153.88762
2022-02-26 08:00:00,2102.01238
2022-02-26 09:00:00,1863.75174
2022-02-26 10:00:00,1585.52303
2022-02-26 11:00:00,1321.19873
2022-02-26 12:00:00,1057.81285
2022-02-26 13:00:00,907.75289
2022-02-26 14:00:00,957.18495
2022-02-26 15:00:00,1085.52234
2022-02-26 16:00:00,1143.06400
2022-02-26 17:00:00,1246.68727
2022-02-26 18:00:00,1505.20255
2022-02-26 19:00:00,1627.04039
2022-02-26 20:00:00,1493.76690
2022-02-26 21:00:00,1344.23565
2022-02-26 22:00:00,1186.31146
2022-02-26 23:00:00,1004.04456
2022-02-27 00:00:00,945.10324
2022-02-27 01:00:00,985.41655
2022-02-27 02:00:00,1141.05000
2022-02-27 03:00:00,1324.06829
2022-02-27 04:00:00,1471.86262
2022-02-27 05:00:00,1485.98137
2022-02-27 06:00:00,1389.66713
2022-02-27 07:00:00,1247.19491
2022-02-27 08:00:00,1030.67014
2022-02-27 09:00:00,780.19537
2022-02-27 10:00:00,579.40637
2022-02-27 11:00:00,448.51944
2022-02-27 12:00:00,364.82894
2022-02-27 13:00:00,309.60451
2022-02-27 14:00:00,269.30394
2022-02-27 15:00:00,237.52569
2022-02-27 16:00:00,213.64988
2022-02-27 17:00:00,193.09514
2022-02-27 18:00:00,176.65289
2022-02-27 19:00:00,163.22986
2022-02-27 20:00:00,151.92153
2022-02-27 21:00:00,142.96655
2022-02-27 22:00:00,134.12500
2022-02-27 23:00:00,126.91053
2022-02-28 00:00:00,121.21620
2022-02-28 01:00:00,115.53183
2022-02-28 02:00:00,109.50961
2022-02-28 03:00:00,103.51678
2022-02-28 04:00:00,98.38171
2022-02-28 05:00:00,94.27986
2022-02-28 06:00:00,90.63796
2022-02-28 07:00:00,87.02743
2022-02-28 08:00:00,83.85498
2022-02-28 09:00:00,80.95417
2022-02-28 10:00:00,78.35197
2022-02-28 11:00:00,75.90116
2022-02-28 12:00:00,73.49560
2022-02-28 13:00:00,71.40891
2022-02-28 14:00:00,69.40532
2022-02-28 15:00:00,67.48958
2022-02-28 16:00:00,65.47373
2022-02-28 17:00:00,63.41644
2022-02-28 18:00:00,61.33275
2022-02-28 19:00:00,59.43970
2022-02-28 20:00:00,57.70255
2022-02-28 21:00:00,56.09178
2022-02-28 22:00:00,54.73947
2022-02-28 23:00:00,53.59213
2022-03-01 00:00:00,52.46146
2022-03-01 01:00:00,51.30683
2022-03-01 02:00:00,50.16921
2022-03-01 03:00:00,49.30185
2022-03-01 04:00:00,48.58310
2022-03-01 05:00:00,47.87164
2022-03-01 06:00:00,47.24583
2022-03-01 07:00:00,46.70405
2022-03-01 08:00:00,46.13600
2022-03-01 09:00:00,45.59537
2022-03-01 10:00:00,45.04525
2022-03-01 11:00:00,44.42176
2022-03-01 12:00:00,43.80417
2022-03-01 13:00:00,43.24919
2022-03-01 14:00:00,42.75035
2022-03-01 15:00:00,42.17384
2022-03-01 16:00:00,41.60278
2022-03-01 17:00:00,41.03542
2022-03-01 18:00:00,40.47153
2022-03-01 19:00:00,39.79711
2022-03-01 20:00:00,39.11053
2022-03-01 21:00:00,38.61597
2022-03-01 22:00:00,37.84769
2022-03-01 23:00:00,36.90741
2022-03-02 00:00:00,36.05752
2022-03-02 01:00:00,35.58148
2022-03-02 02:00:00,35.11759
2022-03-02 03:00:00,34.58762
2022-03-02 04:00:00,33.93322
2022-03-02 05:00:00,33.48299
2022-03-02 06:00:00,33.16562
2022-03-02 07:00:00,32.72361
2022-03-02 08:00:00,32.45625
2022-03-02 09:00:00,32.29329
2022-03-02 10:00:00,32.08472
2022-03-02 11:00:00,31.77535
2022-03-02 12:00:00,31.37697
2022-03-02 13:00:00,30.98218
2022-03-02 14:00:00,30.59074
2022-03-02 15:00:00,30.04063
2022-03-02 16:00:00,29.48079
2022-03-02 17:00:00,29.07361
2022-03-02 18:00:00,28.69884
2022-03-02 19:00:00,28.58391
2022-03-02 20:00:00,28.61250
2022-03-02 21:00:00,28.38461
2022-03-02 22:00:00,28.12870
2022-03-02 23:00:00,27.84491
2022-03-03 00:00:00,27.43808
2022-03-03 01:00:00,27.26111
2022-03-03 02:00:00,27.04595
2022-03-03 03:00:00,26.83565
2022-03-03 04:00:00,26.64410
2022-03-03 05:00:00,26.37975
2022-03-03 06:00:00,26.11979
2022-03-03 07:00:00,26.00787
2022-03-03 08:00:00,26.06157
2022-03-03 09:00:00,26.23877
2022-03-03 10:00:00,48.39861
2022-03-03 11:00:00,157.10174
2022-03-03 12:00:00,190.70648
2022-03-03 13:00:00,171.65035
2022-03-03 14:00:00,188.05451
2022-03-03 15:00:00,240.85116
2022-03-03 16:00:00,246.05174
2022-03-03 17:00:00,219.55937
2022-03-03 18:00:00,174.71493
2022-03-03 19:00:00,137.40718
2022-03-03 20:00:00,113.29861
2022-03-03 21:00:00,97.57431
2022-03-03 22:00:00,87.07731
2022-03-03 23:00:00,81.45301
2022-03-04 00:00:00,78.58993
2022-03-04 01:00:00,75.37963
2022-03-04 02:00:00,70.64491
2022-03-04 03:00:00,65.93079
2022-03-04 04:00:00,61.23056
2022-03-04 05:00:00,57.80289
2022-03-04 06:00:00,55.19132
2022-03-04 07:00:00,52.79549
2022-03-04 08:00:00,50.63947
2022-03-04 09:00:00,48.99907
2022-03-04 10:00:00,47.40231
2022-03-04 11:00:00,45.73889
2022-03-04 12:00:00,44.22037
2022-03-04 13:00:00,42.89051
2022-03-04 14:00:00,41.98750
2022-03-04 15:00:00,41.20937
2022-03-04 16:00:00,41.05069
2022-03-04 17:00:00,42.21632
2022-03-04 18:00:00,41.97674
2022-03-04 19:00:00,40.95197
2022-03-04 20:00:00,40.07963
2022-03-04 21:00:00,39.25336
2022-03-04 22:00:00,38.44155
2022-03-04 23:00:00,37.39907
2022-03-05 00:00:00,36.34167
2022-03-05 01:00:00,35.53600
2022-03-05 02:00:00,34.90845
2022-03-05 03:00:00,34.25590
2022-03-05 04:00:00,33.61181
2022-03-05 05:00:00,33.07049
2022-03-05 06:00:00,32.69201
2022-03-05 07:00:00,32.22442
2022-03-05 08:00:00,31.66806
2022-03-05 09:00:00,31.14919
2022-03-05 10:00:00,30.63588
2022-03-05 11:00:00,30.15833
2022-03-05 12:00:00,29.71516
2022-03-05 13:00:00,29.39896
2022-03-05 14:00:00,29.14780
2022-03-05 15:00:00,28.63877
2022-03-05 16:00:00,27.96123
2022-03-05 17:00:00,27.31725
2022-03-05 18:00:00,27.01273
2022-03-05 19:00:00,26.79352
2022-03-05 20:00:00,26.46667
2022-03-05 21:00:00,26.03113
2022-03-05 22:00:00,25.52373
2022-03-05 23:00:00,25.17187
2022-03-06 00:00:00,24.84745
2022-03-06 01:00:00,24.57720
2022-03-06 02:00:00,24.40093
2022-03-06 03:00:00,24.12894
2022-03-06 04:00:00,23.82303
2022-03-06 05:00:00,23.64722
2022-03-06 06:00:00,23.37222
2022-03-06 07:00:00,23.02593
